[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000620s ]
[ 2012-12-11T09:14:18+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --START--
[ 2012-12-11T09:14:18+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run CheckRoute Behavior [ RunTime:0.011010s ]
[ 2012-12-11T09:14:18+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --END-- [ RunTime:0.011143s ]
[ 2012-12-11T09:14:18+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T09:14:18+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000930s ]
[ 2012-12-11T09:14:18+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001070s ]
[ 2012-12-11T09:14:18+08:00 ] /nextUpFile/index.php/Index/uploadify | NOTIC: [8] Undefined property: UploadFile::$zipImags UploadFile.class.php 第 172 行.
[ 2012-12-11T09:14:18+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --START--
[ 2012-12-11T09:14:18+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run CheckRoute Behavior [ RunTime:0.000978s ]
[ 2012-12-11T09:14:18+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001095s ]
[ 2012-12-11T09:14:18+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T09:14:18+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000702s ]
[ 2012-12-11T09:14:18+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000787s ]
[ 2012-12-11T09:14:18+08:00 ] /nextUpFile/index.php/Index/uploadify | NOTIC: [8] Undefined property: UploadFile::$zipImags UploadFile.class.php 第 172 行.
[ 2012-12-11T09:18:50+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --START--
[ 2012-12-11T09:18:50+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run CheckRoute Behavior [ RunTime:0.001384s ]
[ 2012-12-11T09:18:50+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001500s ]
[ 2012-12-11T09:18:50+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T09:18:50+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001101s ]
[ 2012-12-11T09:18:50+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001189s ]
[ 2012-12-11T09:18:50+08:00 ] /nextUpFile/index.php/Index/uploadify | NOTIC: [8] Undefined property: UploadFile::$zipImags UploadFile.class.php 第 172 行.
[ 2012-12-11T09:18:50+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --START--
[ 2012-12-11T09:18:50+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run CheckRoute Behavior [ RunTime:0.001252s ]
[ 2012-12-11T09:18:50+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001378s ]
[ 2012-12-11T09:18:50+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T09:18:50+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000687s ]
[ 2012-12-11T09:18:50+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000809s ]
[ 2012-12-11T09:18:50+08:00 ] /nextUpFile/index.php/Index/uploadify | NOTIC: [8] Undefined property: UploadFile::$zipImags UploadFile.class.php 第 172 行.
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001070s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001178s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --START--
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001910s ]
