[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000485s ]
[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000561s ]
[ 2012-12-10T09:11:29+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --START--
[ 2012-12-10T09:11:29+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run CheckRoute Behavior [ RunTime:0.001349s ]
[ 2012-12-10T09:11:29+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001461s ]
[ 2012-12-10T09:11:29+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T09:11:29+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000615s ]
[ 2012-12-10T09:11:29+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000692s ]
[ 2012-12-10T09:11:29+08:00 ] /nextUpFile/index.php/Index/uploadify | NOTIC: [8] Undefined property: UploadFile::$zipImags UploadFile.class.php 第 172 行.
[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000650s ]
[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000768s ]
[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --START--
[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000407s ]
[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000489s ]
[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.008445s ]
[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008547s ]
[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000635s ]
[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000474s ]
[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000271s ]
[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000516s ]
